,ra,dec,pa,OBSID,MJDOBS,XPOSURE,SGT_LAT_MIDPT,SGT_LON_MIDPT,SGT_MIN_GCD2SAA,SPS_ELON,SPS_ELAT,SPS_EPA
709,73.55824852315311,64.82222700722171,179.48808357850356,2025W36_1A_0006_2,60919.01759,113.5826,82.039087,352.413516,81.277163,74.482759,42.48001,0.0
710,75.32580331086109,66.83206374045872,144.2299071,2025W36_1A_0006_2,60919.01759,113.5826,82.039087,352.413516,81.277163,74.482759,42.48001,0.0
711,63.48058418729247,65.38012777079905,348.81987987513486,2025W36_1A_0006_2,60919.01759,113.5826,82.039087,352.413516,81.277163,74.482759,42.48001,0.0
712,54.79143000301642,64.92500819457817,83.05658698,2025W36_1A_0006_2,60919.01759,113.5826,82.039087,352.413516,81.277163,74.482759,42.48001,0.0
713,71.31873247587906,50.583505716856656,238.83549627858326,2025W36_1A_0065_1,60919.28012,113.5826,40.573651,340.984566,40.201734,72.727273,28.85494,0.0
714,93.15954049,-57.12733295,-61.42570064,2025W31_2A_0198_1,60888.55461,113.5826,-76.184584,283.86884,19.825773,77.598216,-83.124214,40.174914
715,268.8347295729005,71.71617209,-103.0759112,2025W27_1A_0213_4,60857.07211,113.5826,62.330732,258.612549,74.11964,164.293119,89.163819,180.035239
716,268.79300139199813,66.52750931933991,73.5949384,2025W27_1A_0213_4,60857.07211,113.5826,62.330732,258.612549,74.11964,164.293119,89.163819,180.035239
717,266.2924675654307,62.93326464099149,-99.3108107,2025W27_1A_0213_4,60857.07211,113.5826,62.330732,258.612549,74.11964,164.293119,89.163819,180.035239
718,83.31784392685783,-58.26748804,-100.0675601,2025W22_2B_0447_3,60827.07552,113.5826,-81.233192,127.127604,41.275046,40.530126,-85.973666,54.322079
719,79.62416899,-63.00936111,334.5334446182915,2025W22_2B_0447_3,60827.07552,113.5826,-81.233192,127.127604,41.275046,40.530126,-85.973666,54.322079
720,81.39482150623122,-67.31104167,85.19013338,2025W22_2B_0447_3,60827.07552,113.5826,-81.233192,127.127604,41.275046,40.530126,-85.973666,54.322079
721,47.172444254259375,12.717269842171032,163.89708912,2025W31_2A_0190_2,60888.50764,113.5826,31.680934,261.174326,43.583976,43.333333,-4.554801,0.0
722,42.38169459154282,11.54331639547956,-29.93681333,2025W31_2A_0190_2,60888.50764,113.5826,31.680934,261.174326,43.583976,43.333333,-4.554801,0.0
723,279.8476822482948,67.94653955915395,-115.1918718,2025W27_1A_0238_2,60857.20278,113.5826,82.030299,288.435716,79.424923,43.203162,85.909982,301.060672
724,276.6703567,65.17583342743268,-57.46317826,2025W27_1A_0238_2,60857.20278,113.5826,82.030299,288.435716,79.424923,43.203162,85.909982,301.060672
725,276.3085020751073,64.82710327173642,279.3500505731489,2025W27_1A_0238_2,60857.20278,113.5826,82.030299,288.435716,79.424923,43.203162,85.909982,301.060672
726,122.63467084869058,-69.60549672,32.63697189999999,2025W27_1A_0219_3,60857.10195,113.5826,-80.640323,110.429154,42.441272,207.272727,-77.588952,180.0
727,123.02997134069464,-70.52596633,-106.5196169,2025W27_1A_0219_3,60857.10195,113.5826,-80.640323,110.429154,42.441272,207.272727,-77.588952,180.0
728,301.23715820125216,-83.19501238,-134.906211,2025W36_1A_0046_4,60919.19075,113.5826,-70.894188,43.853431,30.599058,276.0,-60.164281,180.0
729,72.22581387105275,-59.29458246,-63.21376901,2025W31_2A_0137_3,60888.22028,113.5826,-50.798148,19.502389,9.956889,62.556954,-79.264647,21.099792
730,339.20597398718064,-82.30447623,101.2132423,2025W38_1A_0060_1,60933.17948,113.5826,-81.890309,124.996729,40.49381,288.0,-63.767215,180.0
731,352.7258332,-78.41215699,266.2107301370155,2025W38_1A_0060_1,60933.17948,113.5826,-81.890309,124.996729,40.49381,288.0,-63.767215,180.0
732,351.25312411366104,-78.81546986,149.94602268043062,2025W38_1A_0060_1,60933.17948,113.5826,-81.890309,124.996729,40.49381,288.0,-63.767215,180.0
733,186.4235084077427,-45.37100403,7.005498700000004,2025W27_1A_0230_1,60857.15963,113.5826,-39.939507,204.91877,53.593865,208.0,-38.680409,180.0
734,75.56754768123156,-59.97363635,-53.69847391,2025W31_2A_0137_4,60888.22177,113.5826,-42.421149,16.387439,4.027716,62.191036,-79.083507,20.724793
735,254.8411343530868,-84.25917233,354.69452479815584,2025W36_1A_0046_3,60919.18925,113.5826,-78.104056,62.230673,34.929729,276.0,-59.967614,180.0
736,222.2696803045036,16.77893622433052,-125.5968208,2025W27_1A_0295_3,60857.4883,113.5826,17.5128,95.839047,85.973468,218.181818,30.034941,180.0
737,220.3450561166236,14.97856573184552,-130.9291881,2025W27_1A_0295_3,60857.4883,113.5826,17.5128,95.839047,85.973468,218.181818,30.034941,180.0
738,225.7545039282925,12.591170695312602,91.90257883706892,2025W27_1A_0295_3,60857.4883,113.5826,17.5128,95.839047,85.973468,218.181818,30.034941,180.0
739,228.8675312354355,14.309322537518376,28.1045857,2025W27_1A_0295_3,60857.4883,113.5826,17.5128,95.839047,85.973468,218.181818,30.034941,180.0
740,66.52624778504324,42.628823771430845,161.24010278,2025W36_1A_0004_1,60919.00766,113.5826,36.623356,79.98315,87.093384,72.0,20.209472,0.0
741,207.5813169404957,-31.71430487,169.43606901,2025W27_1A_0272_4,60857.36519,113.5826,-50.314295,127.855087,68.697092,212.571429,-18.439471,180.0
742,4.481477750102952,74.43086401419822,-28.69352734,2025W31_2A_0192_1,60888.51807,113.5826,81.61473,190.806356,94.601035,48.0,62.130948,0.0
743,164.09073531370623,-0.499471719,-145.0596511,2025W18_1B_0379_2,60796.00931,113.5826,9.33819,267.422162,21.190785,160.0,-6.781068,180.0
744,163.20622720578288,-0.842630763,-148.860991,2025W18_1B_0379_2,60796.00931,113.5826,9.33819,267.422162,21.190785,160.0,-6.781068,180.0
745,162.5617758373552,-1.501893706,-145.9526091,2025W18_1B_0379_2,60796.00931,113.5826,9.33819,267.422162,21.190785,160.0,-6.781068,180.0
746,162.41789952280288,-1.560806493,-148.5758786,2025W18_1B_0379_2,60796.00931,113.5826,9.33819,267.422162,21.190785,160.0,-6.781068,180.0
747,164.65581885578092,0.5914640119099428,12.022426700000011,2025W18_1B_0379_2,60796.00931,113.5826,9.33819,267.422162,21.190785,160.0,-6.781068,180.0
748,158.88281278559128,0.1774640745743804,32.2963359,2025W18_1B_0379_2,60796.00931,113.5826,9.33819,267.422162,21.190785,160.0,-6.781068,180.0
749,160.97413435762076,2.388964122787419,-145.9367752,2025W18_1B_0379_2,60796.00931,113.5826,9.33819,267.422162,21.190785,160.0,-6.781068,180.0
750,156.5239666449655,1.3397198611052388,31.809666399999998,2025W18_1B_0379_2,60796.00931,113.5826,9.33819,267.422162,21.190785,160.0,-6.781068,180.0
751,155.0845362380321,4.082384753,-157.3624392,2025W18_1B_0379_2,60796.00931,113.5826,9.33819,267.422162,21.190785,160.0,-6.781068,180.0
752,156.7421177806556,-27.69945486,-126.2577529,2025W18_1B_0380_4,60796.01897,113.5826,-41.51341,255.495922,12.222296,170.322581,-35.274142,180.0
753,278.50110574177484,67.60702614301725,-50.57515126,2025W22_2B_0453_2,60827.10673,113.5826,76.848469,14.065224,82.147478,315.647248,87.889184,0.024393
754,349.0588239563815,-5.421712001,-16.92072218,2025W22_2B_0438_2,60827.02519,113.5826,7.475644,79.111053,69.161381,343.333333,0.558533,0.0
755,348.11376775141974,-5.902600828,-40.04659703,2025W22_2B_0438_2,60827.02519,113.5826,7.475644,79.111053,69.161381,343.333333,0.558533,0.0
756,347.7726716441076,-6.153747912,-27.46109497,2025W22_2B_0438_2,60827.02519,113.5826,7.475644,79.111053,69.161381,343.333333,0.558533,0.0
757,347.3168589652895,-3.269534637,337.6361385079042,2025W22_2B_0438_2,60827.02519,113.5826,7.475644,79.111053,69.161381,343.333333,0.558533,0.0
758,346.3255485943505,-6.569467122,353.1078891160274,2025W22_2B_0438_2,60827.02519,113.5826,7.475644,79.111053,69.161381,343.333333,0.558533,0.0
759,345.98350248811494,-6.720816991,-59.20685281,2025W22_2B_0438_2,60827.02519,113.5826,7.475644,79.111053,69.161381,343.333333,0.558533,0.0
760,346.25309285805093,-6.925667289,-31.51384842,2025W22_2B_0438_2,60827.02519,113.5826,7.475644,79.111053,69.161381,343.333333,0.558533,0.0
761,347.6919625242552,-3.078200228,329.2122331038346,2025W22_2B_0438_2,60827.02519,113.5826,7.475644,79.111053,69.161381,343.333333,0.558533,0.0
762,345.27757121282536,-4.648502594,145.20153469000002,2025W22_2B_0438_2,60827.02519,113.5826,7.475644,79.111053,69.161381,343.333333,0.558533,0.0
763,341.92842906231897,-7.433033838,-28.46722777,2025W22_2B_0438_2,60827.02519,113.5826,7.475644,79.111053,69.161381,343.333333,0.558533,0.0
764,342.1641117055168,-6.8465939,-20.03528219,2025W22_2B_0438_2,60827.02519,113.5826,7.475644,79.111053,69.161381,343.333333,0.558533,0.0
